obs,sim,site,species,var,dataset
14.40162642,16.64190964,8,spruce,V,Old0
18.83956141,27.69998791,8,spruce,V,Old0
14.74912334,8.104727326,8,spruce,V,Old0
4.927454197,11.42851591,8,spruce,V,Old0
9.600802342,46.95578161,8,spruce,V,Old0
16.52108525,76.9305419,8,spruce,V,Old0
24.73601566,77.14060805,8,spruce,V,Old0
13.90780261,45.34693628,8,spruce,V,Old0
9.002682737,20.45439481,8,spruce,V,Old0
20.07813845,32.88257167,8,spruce,V,Old0
16.95462129,9.651648124,8,spruce,V,Old0
5.579740359,16.5457794,9,spruce,V,Old0
13.28469559,28.3153362,9,spruce,V,Old0
25.20120527,37.99060866,9,spruce,V,Old0
37.98929423,42.65964013,9,spruce,V,Old0
31.9536471,30.6214953,9,spruce,V,Old0
41.88106895,33.84669007,9,spruce,V,Old0
9.041748477,7.283166807,9,spruce,V,Old0
21.13784898,14.10682253,9,spruce,V,Old0
11.7800597,6.411358269,9,spruce,V,Old0
16.85538401,8.928537088,9,spruce,V,Old0
7.183541828,21.29766538,9,spruce,V,Old0
13.60743853,37.67626953,9,spruce,V,Old0
24.41632004,49.19262745,9,spruce,V,Old0
35.25726927,53.22047704,9,spruce,V,Old0
27.44182522,36.75430483,9,spruce,V,Old0
39.15587207,39.50968845,9,spruce,V,Old0
11.80809557,7.22673367,9,spruce,V,Old0
17.03083225,9.687740629,9,spruce,V,Old0
10.71034705,26.5695641,9,spruce,V,Old0
16.80843181,53.37248658,9,spruce,V,Old0
25.20900368,70.0391647,9,spruce,V,Old0
35.99914688,73.75422938,9,spruce,V,Old0
32.09993272,49.23140625,9,spruce,V,Old0
39.03277887,50.99703428,9,spruce,V,Old0
13.17027814,8.709753636,9,spruce,V,Old0
18.24019511,11.162903,9,spruce,V,Old0
3.384627632,3.785421971,10,spruce,V,Old0
22.62805484,26.94910942,10,spruce,V,Old0
44.24910162,52.66804757,10,spruce,V,Old0
92.17185014,93.73383299,10,spruce,V,Old0
73.51898393,67.10459448,10,spruce,V,Old0
48.81233438,39.45305524,10,spruce,V,Old0
25.63377114,17.6967799,10,spruce,V,Old0
2.423472055,4.567303758,10,spruce,V,Old0
20.07858395,32.40430096,10,spruce,V,Old0
43.83659136,71.20917986,10,spruce,V,Old0
99.16703049,126.284417,10,spruce,V,Old0
85.00893558,86.47887762,10,spruce,V,Old0
57.30330579,48.77922656,10,spruce,V,Old0
30.31903525,20.64784787,10,spruce,V,Old0
2.278235368,4.596087457,10,spruce,V,Old0
16.5503856,31.74687405,10,spruce,V,Old0
38.75036854,81.13361474,10,spruce,V,Old0
112.5973431,148.4490808,10,spruce,V,Old0
99.42531759,99.37667964,10,spruce,V,Old0
68.38885933,54.8827489,10,spruce,V,Old0
36.17658855,22.40391667,10,spruce,V,Old0
7.410541464,7.42992152,11,spruce,V,Old0
29.62922078,32.13769067,11,spruce,V,Old0
77.74935265,86.02768954,11,spruce,V,Old0
74.46617317,73.57871714,11,spruce,V,Old0
57.74677471,51.65490279,11,spruce,V,Old0
48.79385075,38.24398673,11,spruce,V,Old0
66.59134429,48.34157161,11,spruce,V,Old0
3.842216807,8.309504493,11,spruce,V,Old0
25.8071859,36.73739225,11,spruce,V,Old0
79.88830124,108.2314618,11,spruce,V,Old0
83.13371363,93.12253887,11,spruce,V,Old0
62.90117497,62.62324263,11,spruce,V,Old0
50.86201808,45.08017665,11,spruce,V,Old0
71.77841202,56.10853614,11,spruce,V,Old0
3.248717563,8.289407492,11,spruce,V,Old0
27.79021051,37.32773942,11,spruce,V,Old0
90.07487992,126.1469749,11,spruce,V,Old0
93.66611631,111.898166,11,spruce,V,Old0
75.40266065,74.36052613,11,spruce,V,Old0
60.93532289,51.89038121,11,spruce,V,Old0
84.33756389,63.22207297,11,spruce,V,Old0
8.181103615,9.413938988,12,spruce,V,Old0
39.22044467,50.79097123,12,spruce,V,Old0
41.01926341,50.35546741,12,spruce,V,Old0
82.84915656,91.80891,12,spruce,V,Old0
75.05890358,72.22021867,12,spruce,V,Old0
40.15867769,32.77311782,12,spruce,V,Old0
6.461530869,9.928593327,12,spruce,V,Old0
33.03832411,59.86634243,12,spruce,V,Old0
47.78047743,65.70690058,12,spruce,V,Old0
93.31044937,119.916893,12,spruce,V,Old0
86.47953926,91.35820479,12,spruce,V,Old0
44.5304975,38.83404879,12,spruce,V,Old0
6.680202174,8.942240683,12,spruce,V,Old0
28.62054867,58.17200058,12,spruce,V,Old0
53.7741468,71.93656207,12,spruce,V,Old0
113.4557279,132.7456133,12,spruce,V,Old0
105.1629298,98.6950988,12,spruce,V,Old0
53.41684736,39.73235409,12,spruce,V,Old0
37.77983651,55.1679179,13,spruce,V,Old0
55.89263517,76.07266904,13,spruce,V,Old0
56.55851131,66.67915397,13,spruce,V,Old0
38.77276829,40.89959274,13,spruce,V,Old0
31.71525817,17.39778159,13,spruce,V,Old0
42.52056006,65.04356423,13,spruce,V,Old0
63.31881945,97.27607521,13,spruce,V,Old0
66.10491993,82.46219358,13,spruce,V,Old0
43.66132728,48.14184459,13,spruce,V,Old0
11.12440014,9.688955901,13,spruce,V,Old0
50.79946751,68.40482724,13,spruce,V,Old0
72.63336141,112.8453413,13,spruce,V,Old0
72.65978401,92.83337876,13,spruce,V,Old0
42.10379338,51.76150829,13,spruce,V,Old0
1.504018157,2.139227219,14,spruce,V,Old0
16.88185333,20.65468824,14,spruce,V,Old0
56.61829542,62.80749774,14,spruce,V,Old0
68.82194077,61.70766218,14,spruce,V,Old0
156.4143544,122.6444986,14,spruce,V,Old0
81.82239991,57.85498786,14,spruce,V,Old0
20.07938818,13.51574594,14,spruce,V,Old0
1.239045028,2.936608263,14,spruce,V,Old0
14.98516928,25.49653028,14,spruce,V,Old0
49.87286442,85.79014051,14,spruce,V,Old0
62.33341277,78.33915727,14,spruce,V,Old0
146.81787,148.1920451,14,spruce,V,Old0
49.25311716,67.46610494,14,spruce,V,Old0
21.95261396,15.51318726,14,spruce,V,Old0
1.142453361,3.275955743,14,spruce,V,Old0
12.65466897,27.27546495,14,spruce,V,Old0
39.86521591,107.7461456,14,spruce,V,Old0
62.18750241,97.35785917,14,spruce,V,Old0
148.2070426,177.2334759,14,spruce,V,Old0
55.70521233,78.26697895,14,spruce,V,Old0
23.25039877,17.72113718,14,spruce,V,Old0
2.022913139,2.025517325,15,spruce,V,Old0
27.71861832,27.55286122,15,spruce,V,Old0
60.79489741,58.09609131,15,spruce,V,Old0
90.96269356,80.05790528,15,spruce,V,Old0
60.97981934,47.66027251,15,spruce,V,Old0
73.90141426,53.19707531,15,spruce,V,Old0
10.75116873,7.309913853,15,spruce,V,Old0
24.29206259,13.4321421,15,spruce,V,Old0
1.331787834,3.186260584,15,spruce,V,Old0
24.63426532,37.72046245,15,spruce,V,Old0
65.31015294,82.8165331,15,spruce,V,Old0
100.5864808,105.4194684,15,spruce,V,Old0
66.4039954,59.42094216,15,spruce,V,Old0
85.63167647,63.57859507,15,spruce,V,Old0
12.17106717,8.394953602,15,spruce,V,Old0
27.6097596,15.26079948,15,spruce,V,Old0
1.415139074,3.844036814,15,spruce,V,Old0
22.12032427,43.46237155,15,spruce,V,Old0
65.81407263,104.5990464,15,spruce,V,Old0
113.3108587,131.1462577,15,spruce,V,Old0
68.28108558,71.02488609,15,spruce,V,Old0
96.76452162,73.63805991,15,spruce,V,Old0
30.3752207,16.93279232,15,spruce,V,Old0
3.218390672,3.896778611,16,spruce,V,Old0
26.62457691,33.61981298,16,spruce,V,Old0
73.43930754,86.14800497,16,spruce,V,Old0
95.06088995,96.6429805,16,spruce,V,Old0
56.6491138,51.06219168,16,spruce,V,Old0
40.87851963,32.5488078,16,spruce,V,Old0
2.375588398,4.253946227,16,spruce,V,Old0
23.61073853,39.61121038,16,spruce,V,Old0
72.2756352,116.8155039,16,spruce,V,Old0
87.52025674,129.3312448,16,spruce,V,Old0
58.8741939,65.18774159,16,spruce,V,Old0
36.21587711,39.5721404,16,spruce,V,Old0
1.441168078,3.81899582,16,spruce,V,Old0
18.22621675,36.95427615,16,spruce,V,Old0
66.08961309,129.7007098,16,spruce,V,Old0
